Experimento,Learning Rate,epocas,Capas Usadas,Training Accuracies,Validation Accuracies,Mean Accuracy Training,Std Accuracy Training,Mean Accuracy Validation,Std Accuracy Validation,Accuracy Test,Precision Test,Sensibilidad Test,Especificidad Test
Cancer_desbalanceado,0.02330719285532569,18,"(60, 50, 20)","[0.8088235294117647, 0.7883211678832117, 0.7591240875912408, 0.8029197080291971, 0.7956204379562044]","[0.6571428571428571, 0.8529411764705882, 0.8235294117647058, 0.7647058823529411, 0.7941176470588235]",0.7909617861743238,0.017345597245519918,0.7784873949579831,0.06742533735552106,0.7282608695652174,0.5263157894736842,0.38461538461538464,0.8636363636363636
Cancer_Smote_TomekLinks,0.01190157892065431,488,"(70, 20, 30)","[0.8711340206185567, 0.8865979381443299, 0.8041237113402062, 0.8769230769230769, 0.8358974358974359]","[0.7959183673469388, 0.7551020408163265, 0.7755102040816326, 0.6666666666666666, 0.5208333333333334]",0.8549352365847211,0.030635408760633486,0.7028061224489796,0.10110469124292741,0.7175572519083969,0.7164179104477612,0.7272727272727273,0.7076923076923077
Cancer_Smote_ENN,0.006815491404779117,423,"(10, 50, 90)","[0.9607843137254902, 0.9738562091503268, 0.974025974025974, 0.974025974025974, 0.987012987012987]","[0.9487179487179487, 0.8205128205128205, 0.9473684210526315, 0.8157894736842105, 0.9210526315789473]",0.9739410915881503,0.008294538791397648,0.8906882591093117,0.06006080417349694,0.8737864077669902,0.8,0.8235294117647058,0.8985507246376812
Cancer_Smote_CNN,0.010348028612847128,450,"(60, 90, 90)","[0.5658536585365853, 0.4926829268292683, 0.5970873786407767, 0.6893203883495146, 0.616504854368932]","[0.5192307692307693, 0.6730769230769231, 0.5490196078431373, 0.5686274509803921, 0.49019607843137253]",0.5922898413450154,0.06425685870422407,0.5600301659125189,0.06247576417915102,0.7536231884057971,0.7333333333333333,0.7971014492753623,0.7101449275362319
Cancer_Smote_NCR,0.0031635447247635507,351,"(40, 80, 90)","[0.875, 0.9567567567567568, 0.918918918918919, 0.9351351351351351, 0.8864864864864865]","[0.6808510638297872, 0.8043478260869565, 0.782608695652174, 0.6956521739130435, 0.6956521739130435]",0.9144594594594594,0.030252166400942727,0.7318223866790009,0.05109566102225056,0.7741935483870968,0.7272727272727273,0.8275862068965517,0.7272727272727273
Cancer_Smote_OSS,0.0021620728143686395,464,"(50, 50, 20)","[0.8994974874371859, 0.8793969849246231, 0.8894472361809045, 0.8241206030150754, 0.895]","[0.76, 0.7, 0.82, 0.8, 0.7551020408163265]",0.8774924623115578,0.027516664754676057,0.7670204081632652,0.04141873815139888,0.6666666666666666,0.7142857142857143,0.5303030303030303,0.7971014492753623
Cancer_Adasyn_Tomek,0.004693474115289068,323,"(80, 80, 20)","[0.8743718592964824, 0.8592964824120602, 0.8592964824120602, 0.8844221105527639, 0.86]","[0.82, 0.76, 0.72, 0.7, 0.7142857142857143]",0.8674773869346734,0.01024131945237791,0.7428571428571429,0.043406009176761004,0.7481481481481481,0.6973684210526315,0.828125,0.676056338028169
Cancer_Adasyn_ENN,0.004693474115289068,323,"(80, 80, 20)","[0.8193548387096774, 0.9354838709677419, 0.9290322580645162, 0.9161290322580645, 0.8461538461538461]","[0.8205128205128205, 0.7435897435897436, 0.7692307692307693, 0.7435897435897436, 0.5526315789473685]",0.8892307692307693,0.047297550582504344,0.7259109311740891,0.09107902125152892,0.7904761904761904,0.6451612903225806,0.6451612903225806,0.8513513513513513
Cancer_Adasyn_CNN,0.011208039578704674,266,"(60, 80, 40)","[0.8014440433212996, 0.8664259927797834, 0.8057553956834532, 0.802158273381295, 0.8273381294964028]","[0.6857142857142857, 0.7142857142857143, 0.6666666666666666, 0.6231884057971014, 0.6811594202898551]",0.8206243669324469,0.024790446824921118,0.6742028985507246,0.02982217499882024,0.7433155080213903,0.6761904761904762,0.8352941176470589,0.6666666666666666
Cancer_Adasyn_NCR,0.004758866557819778,435,"(40, 100, 90)","[0.9407407407407408, 0.9703703703703703, 0.9629629629629629, 0.9333333333333333, 0.9852941176470589]","[0.9117647058823529, 0.8529411764705882, 0.9117647058823529, 0.7647058823529411, 0.8181818181818182]",0.9585403050108932,0.019118016370440506,0.8518716577540106,0.05640634005174014,0.8586956521739131,0.8431372549019608,0.8958333333333334,0.8181818181818182
